Datum;Uhrzeit;Autobahn;Richtung_Start;Richtung_Ende;Streckenabschnitt_Start;Streckenabschnitt_Ende;Art;Laenge;Beschreibung
2011-01-03;01:48:00;A46;Wuppertal;Düsseldorf;Dreieck Düsseldorf-Süd;Düsseldorf-Eller;Gefahr;NULL;Gefahr durch ein großes Metallteil auf der Fahrbahn.
2011-01-03;01:54:00;A46;Wuppertal;Düsseldorf;Dreieck Düsseldorf-Süd;Düsseldorf-Eller;Gefahr;NULL;Gefahr durch ein großes Metallteil auf der Fahrbahn.
2011-01-03;04:00:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Bocklemünd;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug auf der rechten Fahrspur
2011-01-03;04:06:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Bocklemünd;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug auf der rechten Fahrspur
2011-01-03;04:12:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Bocklemünd;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug auf der rechten Fahrspur
2011-01-03;04:18:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Bocklemünd;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug auf der rechten Fahrspur
2011-01-03;05:06:00;A2;Hannover;Dortmund;Gütersloh;Rheda-Wiedenbrück;Gefahr;NULL;Gefahr durch Metallteile auf dem linken Fahrstreifen.
2011-01-03;06:12:00;A2;Dortmund;Hannover;Kamener Kreuz;Bönen;Gefahr;NULL;Gefahr durch Metallteile auf der Fahrbahn.
2011-01-03;06:18:00;A2;Dortmund;Hannover;Kamener Kreuz;Bönen;Gefahr;NULL;Gefahr durch Metallteile auf der Fahrbahn.
2011-01-03;06:24:00;A2;Dortmund;Hannover;Kamener Kreuz;Bönen;Gefahr;NULL;Gefahr durch Metallteile auf der Fahrbahn.
2011-01-03;06:30:00;A2;Dortmund;Hannover;Kamener Kreuz;Bönen;Gefahr;NULL;Gefahr durch Metallteile auf der Fahrbahn.
2011-01-03;06:54:00;A1;Euskirchen;Köln;Kreuz Bliesheim;Erftstadt;Stau;2;Unfall
2011-01-03;06:54:00;A59;Dinslaken;Duisburg;Kreuz Duisburg;Duisburg-Duissern;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug
2011-01-03;07:00:00;A1;Euskirchen;Köln;Kreuz Bliesheim;Erftstadt;Stau;2;Unfall
2011-01-03;07:00:00;A59;Dinslaken;Duisburg;Kreuz Duisburg;Duisburg-Duissern;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug
2011-01-03;07:00:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;2;dort gesperrt.
2011-01-03;07:00:00;A3;Arnheim;Oberhausen;Hamminkeln;Wesel;Gefahr;NULL;Gefahr durch ein brennendes Fahrzeug auf der Fahrbahn.
2011-01-03;07:06:00;A1;Euskirchen;Köln;Kreuz Bliesheim;Erftstadt;Stau;2;Unfall
2011-01-03;07:06:00;A59;Dinslaken;Duisburg;Kreuz Duisburg;Duisburg-Duissern;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug
2011-01-03;07:06:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;2;dort gesperrt.
2011-01-03;07:06:00;A3;Arnheim;Oberhausen;Hamminkeln;Wesel;Gefahr;NULL;Gefahr durch ein brennendes Fahrzeug auf der Fahrbahn.
2011-01-03;07:12:00;A1;Euskirchen;Köln;Kreuz Bliesheim;Erftstadt;Stau;2;Unfall
2011-01-03;07:12:00;A59;Dinslaken;Duisburg;Kreuz Duisburg;Duisburg-Duissern;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug
2011-01-03;07:12:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;2;dort gesperrt.
2011-01-03;07:12:00;A3;Arnheim;Oberhausen;Hamminkeln;Wesel;Gefahr;NULL;Gefahr durch ein brennendes Fahrzeug auf der Fahrbahn.
2011-01-03;07:18:00;A1;Euskirchen;Köln;Kreuz Bliesheim;Erftstadt;Stau;2;Unfall
2011-01-03;07:18:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Mülheim;Stau;3;Baustelle
2011-01-03;07:18:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;2;dort gesperrt.
